file,employees_text,company_number,source_employees
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/06044978-2025-01-10-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"average monthly number of persons employed by the company during the financial year was made up as follows: 2024 2023 no. of no. of employees employees surgery staff - 6 administration staff - 6 average number of employees - 12 the aggregate payroll costs of these persons were as follows: 2024 2023 £ £ wages and salaries - 187,089 social security costs - 13,446 other pension costs oe 3,371 203,906 total employee benefits expense = from 1 april 2023, all staff services were provided to the company by petrie tucker and partners limited, a fellow subsidiary and therefore, the company no longer incurred employee’s costs. 7. direc",06044978,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/09886138-2024-12-04-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"tax is attributed to increase in staff costs during the year. equity has increased to $1,046k (2022: £842k) as a result of the profit for the year. current and future developments the company will continue to provide full technical management services to offshore vessels. the expectation for the company is that vessel numbers will be relative",09886138,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/06377573-2025-01-05-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"average monthly number of persons (including directors) employed by the company during the year was: 2024 2023 number number total - - 4 tangible fixed assets landand plant and total buildings machinery etc £ £ £ cost or valuation at 1 april 2023 3,229,444 807,633 4,037,077 additions 91,212 - 91,212 at 31 march 2024 3,320,656 807,633 4,128,289 depreciation and impairment at 1 april 2023 304,954 206,155 511,109 depreciation charged in the year 12,513 34,105 46,618 at 31 march 2024 317,467 240,260 557,727 carrying amount at 34 march 2024 3,003,189 567,373 3,570,562 at 31 march 2023 2,924,490 601,478 3,525,968 land and buildings and plant and machine",06377573,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/11728449-2024-10-08-accounts-with-accounts-type-full.txt,average monthly number of persons (including directors) employed during the year was: 2023 2022 number number total —_— 4 directors’ remuneration costs of directors' emoluments are borne by other group companies. no recharges were made to the company in respect of their services during the year. all directors of the company are directors of a number of fellow subsidiaries and it is impossible to make an accurate apportionment of their emoluments in respect of each of these companies. accordingly no emoluments in respect of directors are disclosed. their emoluments are disclosed in the aggregate of directors’ emoluments disclosure in the financial,11728449,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/SC625913-2024-10-16-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"average monthly number of persons (including directors) employed by the company during the year was: (unaudited) (audited) 2024 2023 number number total - - brand licence during the financial year ended 31 march 2024, the company recognised income from a brand licence agreement with its parent company, lane clark & peacock llp. the agreement permits lane clark & peacock llp to use the delta brand, owned by delta energy & environment holdings ltd, within lcp delta in exchange for a licence fee from 1 april 2023. the brand licence income is recorded under ‘other operating income’ in our financial statements. the associated expenses for brand marketi",SC625913,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/08709298-2024-09-28-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"average number of persons employed directly by the company during the year/period, including the directors, were: year ended 9 months ended 31 dec 2023 31 dec 2022 number number administrative staff - 1 = 1 the aggregate payroll costs incurred during the year/period relating to the above employees were: year ended 9 months ended 31 dec 2023 31 dec 2022 £ £ wages and salaries - 9,462 social security costs - 1,511 other pension costs = 149 : 11,122 page 10 geoffrey craig limited financial statements for the year ended 31 december 2023 notes to the financial statements (continued) 8 directors remuneration the directors’",08709298,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/08730338-2024-12-18-accounts-with-accounts-type-full.txt,"average number of employees, excluding directors, during the year was o (2022: 0). 6. taxation 2023 2022 £000 £000 total current tax . - - deferred tax total deferred tax - - tax on loss - - factors affecting tax charge for the year the tax assessed for the year is higher than (2022: higher than) the standard rate of corporation tax in the uk of 23.52% (2022: 19%). the differences are explained below: 2023 2022 £000 £000 loss on ordinary activities before tax (8) (7) loss on ordinary activities multiplied by standard rate of corporation tax in the uk of 23.52% (2022: 19%) (2) (1) effects of: losses 2 1 total tax charge",08730338,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/04900320-2024-10-22-accounts-with-accounts-type-audit-exemption-subsiduary.txt,average monthly number of persons (including directors) employed by the company during the year was: administration managers and directors underwriters total 2023 number 7 2 2 11 2022 number 7 2 2 11 -15- occam underwriting limited notes to the financial statements (continued) for the year ended 31 december 2023 5 employees their aggregate remuneration comprised: wages and salaries social security costs pension costs director's remuneration remuneration for qualifying services company pension contributions to defined contribution schemes (continued) remuneration disclosed above include the following amounts paid to the highest paid director: remun,04900320,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/14917288-2025-04-04-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"average number of employees during the period was 4. £ directors’ remuneration - interest payable and semilar expenses £ other loan interest 149,563 loss before taxation the loss is stated after charging: £ other non- audit services 2,400 taxation analysis of the tax charge no liability to uk corporation tax arose for the period. page 9 continued... aurem care (midco iii) limited (registered number: [4917288) notes to the financial statements - continued for the period 6 june 2023 to 31 march 2024 6. taxation - continued reconciliation of total tax charge included in profit and loss the tax assessed for the period is hi",14917288,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/11176664-2025-07-04-legacy.txt,"average monthly number of persons (including directors) employed during the period was: group company 2024 2023 2024 2023 number number number number staff and works employees 462 387 - - management and directors 5 17 - - total 467 404 - - their aggregate remuneration comprised: group company 2024 2023 2024 2023 £ £ £ & wages and salaries 10,013,184 7,138,967 - - social security costs 767,958 749,262 - - pension costs 228,706 539,363 - - 11,009,848 8,436,876 - - an average of 1,798 (2023. 1,688) number of individuals have co-employment contracts with the group and £157.1m (2023: £148.6m) has been invoiced to third parties. as these individuals sol",11176664,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/06944461-2025-01-17-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"average monthly number of persons employed by the company during the financial year was made up as follows: 2024 2023 no. of no. of employees employees surgery staff - 7 administration staff - 3 average number of employees - 10 the aggregate payroll costs of these persons were as follows: 2024 2023 £ £ wages and salaries - 127,979 social security costs - 6,510 other pension costs - 1,929 total employee benefits expense - 136,418 from 1 april 2023, all staff services were provided to the company by petrie tucker and partners limited, a fellow subsidiary and therefore, the company no longer incurred employee’s costs. 7. directo",06944461,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/07159620-2024-08-15-accounts-with-accounts-type-group.txt,"average number of persons employed by the group (including the director) during the year, analysed by category was as follows: 2024 2023 no. no. management 10 16 sales 510 416 finance 15 14 marketing 26 18 human resources 16 15 operations 101 75 technology and product 84 58 762 612 8 director's remuneration one of the directors is also a director of an intermediate holding company, barolo bidco limited, and other fellow group subsidiaries - this director received total remuneration for the year of £452,000 (2023 - £739,000) all of which was paid by barolo bidco limited. another of the directors was also a director of",07159620,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/07211394-2024-12-17-accounts-with-accounts-type-full.txt,"average monthly number of persons employed by the company during the period was: 2024 2023 number number total - - 7 interest receivable and similar income 2024 2023 £ £ interest income interest on bank deposits 71,772 30,262 investment income includes the following: interest on financial assets not measured at fair value through profit or loss 71,772 30,262 8 taxation 2024 2023 £ £ current tax uk corporation tax on profits for the current period 35,264 17,406 adjustments in respect of prior periods (3,017) (20,340) total current tax . 32,247 (2,934) -25- revcap advisors limited notes to the financial statements (continued) f",07211394,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/SC064928-2024-09-26-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"average monthly number of persons (including directors) employed by the company during the year was: 0 (2022: 0). 3 fixed asset investments 2023 2022 £ £ shares in group undertakings and participating interests 1 a 4 debtors 2023 2022 amounts falling due within one year: £ £ trade debtors - 204,429 other debtors 14,471 16,706 14,471 221,135 doc id: 9a388d0b3064d98fe14779f017bb351235a79217 john cadzow (glendevon) limited notes to the financial statements (continued) for the year ended 31 december 2023 5 creditors: amounts falling due within one year trade creditors amounts owed to group undertakings other creditors called up share capital 2023 ordi",SC064928,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/01075050-2024-04-25-accounts-with-accounts-type-small.txt,"average monthly number of employees based on persons employed under contracts of service by the company as required in section 411 (1) andsection 411 (4)(a) of the companies act 2006. this is since staff perform work for entities, with which they do not have employment contracts, within the same group as the entity with which they have their employment contract. therefore, it is not possible to determine what the number of employees is based on contracts. we are unable to quantify the disclosure that would be included in the financial statements if the companies act requirements were followed. we conducted our audit in accordan",01075050,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/08292714-2025-07-02-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"average number of employees during the period was as follows: 53 weeks s2 weeks period period 25/9/23 26/9/22 to to 29/9/24 24/9/23 retail - 2 directors remuneration is borne by fellow group companies and is not recharged to the company in both the current and previous period. exceptional items 53 weeks 52 weeks period period 25/9/23 26/9/22 to to 29/9/24 24/9/23 operating exceptional items impairment of tangible fixed assets - 306 in the prior period, within administrative expenses, then was an impairment of tangible fixed assets. intfrfst payable and similar expenses 53 weeks 52 weeks period period 25/9/23 26/9/22 to",08292714,PDF
ocr-runner-output/private-equity-accounts/all-companies-2025-07-14/06414423-2025-01-09-accounts-with-accounts-type-audit-exemption-subsiduary.txt,"average monthly number of persons employed by the company, during the financial year was made up as follows: 2024 2023 no. of no. of employees employees surgery staff - 5 administration staff oe - be average number of employees - 8 the aggregate payroll costs of these persons were as follows: 2024 2023 £ £ wages and salaries - 127,621 social security costs - 8,643 other pension costs oo 2,541 total employee benefits expense - 138,805 from 1 april 2023, all staff services were provided to the company by petrie tucker and partners limited, a fellow subsidiary and therefore, the company no longer incurred employee’s costs. 7. di",06414423,PDF
