Id,Title,Location,RecordText,snippet
15-98113,Fastest bicycle powered by electric ducted fans,"Northamptonshire, United Kingdom","The fastest speed achieved on a bicycle fitted with electric ducted fans (EDFs) is 72 mph (115.87 km/h), by Ortis Deley (UK) on the set of the 200th episode of The Gadget Show at Santa Pod Raceway, Northamptonshire, UK, on 24 August 2011.","Title: Fastest bicycle powered by electric ducted fans
 Location: Northamptonshire, United Kingdom
 Text: The fastest speed achieved on a bicycle fitted with electric ducted fans (EDFs) is 72 mph (115.87 km/h), by Ortis Deley (UK) on the set of the 200th episode of The Gadget Show at Santa Pod Raceway, Northamptonshire, UK, on 24 August 2011."
15-101115,First female to ski solo across Antarctica,",, Antarctica","<p>Felicity Aston (UK) became the first woman to ski solo across Antarctica when she arrived at the Hercules Inlet on the Ronne Ice Shelf on Monday 23 January 2012 after a 1,744-km (1,084-mile) journey lasting 59 days. She made the
trip from the Ross Ice Shelf – with re-supplies – while pulling two sledges and without kites or any other aids to propulsion.</p><br/><p>Her journey began at the Ross Ice Shelf and took her up the Leverett glacier, across the Transantarctic mountains and on to the vast central plateau of Antarctica. She travelled on Nordic cross-country skis dragging 85 kg of supplies in temperatures as low as -40°C (-40°F). She reached the South Pole on 20 December 2011. Aston used the South Pole Overland Traverse (SPoT) route, which is flagged and graded with each new season. It runs from McMurdo Station across the Ross Ice Shelf, up the Leverett Glacier and across the plateau to the South Pole. As the route is marked, any journeys that utilize it are classified as ""supported"" according to the Polar Expeditions Classification Scheme (PECS).</p>","Title: First female to ski solo across Antarctica
 Location: ,, Antarctica
 Text: <p>Felicity Aston (UK) became the first woman to ski solo across Antarctica when she arrived at the Hercules Inlet on the Ronne Ice Shelf on Monday 23 January 2012 after a 1,744-km (1,084-mile) journey lasting 59 days. She made the
trip from the Ross Ice Shelf – with re-supplies – while pulling two sledges and without kites or any other aids to propulsion.</p><br/><p>Her journey began at the Ross Ice Shelf and took her up the Leverett glacier, across the Transantarctic mountains and on to the vast central plateau of Antarctica. She travelled on Nordic cross-country skis dragging 85 kg of supplies in temperatures as low as -40°C (-40°F). She reached the South Pole on 20 December 2011. Aston used the South Pole Overland Traverse (SPoT) route, which is flagged and graded with each new season. It runs from McMurdo Station across the Ross Ice Shelf, up the Leverett Glacier and across the plateau to the South Pole. As the route is marked, any journeys that utilize it are classified as ""supported"" according to the Polar Expeditions Classification Scheme (PECS).</p>"
15-595009,Oldest person to swim the North Channel (male),"Portpatrick, Dumfries and Galloway, United Kingdom","<p>The oldest male to swim across the North Channel is Andrew Keay (Australia, b. 28 June 1962), who was aged 60 years 12 days when he swam from Northern Ireland to Scotland in 14 hours 30 minutes 12 seconds on 10 July 2022. Piloted by Jack Boyle on board the support vessel <em>Infinity</em>, Keay swam between Donaghadee, County Down, to Portpatrick, Dumfries and Galloway, as ratified by the Irish Long Distance Swimming Association.</p><br/><p>The following year, on 7 September 2023, Keay went on to swim the Bristol Channel, having already swam the English Channel on 23 July 2019. This means he also became the oldest male to complete the Original Triple Crown of open-water swimming, aged 61 years 71 days.</p><p>To date, the oldest person overall to swim the North Channel is Pat Gallant-Charette (USA, b. 2 February 1951), who was 65 years 204 days when she swam from Northern Ireland to Scotland on 24 August 2016.</p><p>As per ILDSA rules, the route must follow the Admiralty Chart 2198, Southern Part, which measures 18.6 nautical miles (21.5 miles; 35 kilometres).</p>","Title: Oldest person to swim the North Channel (male)
 Location: Portpatrick, Dumfries and Galloway, United Kingdom
 Text: <p>The oldest male to swim across the North Channel is Andrew Keay (Australia, b. 28 June 1962), who was aged 60 years 12 days when he swam from Northern Ireland to Scotland in 14 hours 30 minutes 12 seconds on 10 July 2022. Piloted by Jack Boyle on board the support vessel <em>Infinity</em>, Keay swam between Donaghadee, County Down, to Portpatrick, Dumfries and Galloway, as ratified by the Irish Long Distance Swimming Association.</p><br/><p>The following year, on 7 September 2023, Keay went on to swim the Bristol Channel, having already swam the English Channel on 23 July 2019. This means he also became the oldest male to complete the Original Triple Crown of open-water swimming, aged 61 years 71 days.</p><p>To date, the oldest person overall to swim the North Channel is Pat Gallant-Charette (USA, b. 2 February 1951), who was 65 years 204 days when she swam from Northern Ireland to Scotland on 24 August 2016.</p><p>As per ILDSA rules, the route must follow the Admiralty Chart 2198, Southern Part, which measures 18.6 nautical miles (21.5 miles; 35 kilometres).</p>"
15-114871,Largest project to save a tourist resort,"Venice, Italy","As a former capital of the medieval world, Venice, Italy, is a UNESCO World Heritage Site – reflecting its status as is one of Europe’s most culturally rich cities. However, Venice is increasingly threatened with subsidence and serious flooding of its lagoon and canals. In 2002, the “Moses Project” – a huge infrastructure scheme to control water surges from the Adriatic Sea into the lagoon – was inaugurated. This is based on the construction of 78 giant steel gates across three inlets to the lagoon, and efforts to sink 300-ton hinged gates – each more than 90-ft in width – into huge concrete bases dug into the sea bed.<br/>The projected cost is US $7billion (£5 billion) and further millions have been made available since commencement. Construction will be completed in 2016.","Title: Largest project to save a tourist resort
 Location: Venice, Italy
 Text: As a former capital of the medieval world, Venice, Italy, is a UNESCO World Heritage Site – reflecting its status as is one of Europe’s most culturally rich cities. However, Venice is increasingly threatened with subsidence and serious flooding of its lagoon and canals. In 2002, the “Moses Project” – a huge infrastructure scheme to control water surges from the Adriatic Sea into the lagoon – was inaugurated. This is based on the construction of 78 giant steel gates across three inlets to the lagoon, and efforts to sink 300-ton hinged gates – each more than 90-ft in width – into huge concrete bases dug into the sea bed.<br/>The projected cost is US $7billion (£5 billion) and further millions have been made available since commencement. Construction will be completed in 2016."
15-384910,Largest Minecraft cathedral,"Southampton, Hampshire, United Kingdom","<p>Minecraft’s ever-ambitious community is no stranger to spectacular builds, and “GNRfrancis”’s (UK) creative project Epic Cathedral certainly lives up to its name. Uploaded to YouTube on 30 October 2012, this gargantuan edifice – replete with elegant spires, stained-glass windows and buttresses – is made from a staggering 2,082,348 blocks, and took GNRfrancis more than a year to complete.</p>","Title: Largest Minecraft cathedral
 Location: Southampton, Hampshire, United Kingdom
 Text: <p>Minecraft’s ever-ambitious community is no stranger to spectacular builds, and “GNRfrancis”’s (UK) creative project Epic Cathedral certainly lives up to its name. Uploaded to YouTube on 30 October 2012, this gargantuan edifice – replete with elegant spires, stained-glass windows and buttresses – is made from a staggering 2,082,348 blocks, and took GNRfrancis more than a year to complete.</p>"
15-115065,First congestion pricing scheme,", Singapore","In 1975, Singapore became the first country to implement a congestion pricing program. It was called the Area Licensing Scheme (ALS). Vehicles entering the Central Business District or the ""Restricted Zone"" (RZ) were required to have previously purchased a special paper licence. In 1998, the system was upgraded to the Electronic Road Pricing (ERP) program.","Title: First congestion pricing scheme
 Location: , Singapore
 Text: In 1975, Singapore became the first country to implement a congestion pricing program. It was called the Area Licensing Scheme (ALS). Vehicles entering the Central Business District or the ""Restricted Zone"" (RZ) were required to have previously purchased a special paper licence. In 1998, the system was upgraded to the Electronic Road Pricing (ERP) program."
15-763661,Most simultaneous jumps through three rotating hoops in one minute (team),"Milan, Italy","<p>The most simultaneous jumps through three rotating hoops in one minute (team) is 15, and was achieved by Troupe ADC (Ethiopia), on the set of <em>Lo Show Dei Record, </em>in Milan, Italy, on 30 January 2024. </p><br/><p>The troupe equalled their own record, but this time under the studio lights of <em>Lo Show Dei Record.</em></p>","Title: Most simultaneous jumps through three rotating hoops in one minute (team)
 Location: Milan, Italy
 Text: <p>The most simultaneous jumps through three rotating hoops in one minute (team) is 15, and was achieved by Troupe ADC (Ethiopia), on the set of <em>Lo Show Dei Record, </em>in Milan, Italy, on 30 January 2024. </p><br/><p>The troupe equalled their own record, but this time under the studio lights of <em>Lo Show Dei Record.</em></p>"
15-489861,Highest score on FTL: Faster than Light Advanced Edition (hard difficulty),United States,"<p>As verified by Twin Galaxies on 23 July 2016, Joe Jackmovich (USA) scored 5,847 points on the indie spaceship sim <em>FTL: Faster than Light Advanced Edition</em> (Subset Games, 2014).</p><br/><p>The player also held the highest score record for normal difficulty.</p>","Title: Highest score on FTL: Faster than Light Advanced Edition (hard difficulty)
 Location: United States
 Text: <p>As verified by Twin Galaxies on 23 July 2016, Joe Jackmovich (USA) scored 5,847 points on the indie spaceship sim <em>FTL: Faster than Light Advanced Edition</em> (Subset Games, 2014).</p><br/><p>The player also held the highest score record for normal difficulty.</p>"
15-59298,Fastest time to arrange a chess set (Under 16s),Singapore,<p>The fastest time to arrange a chess set (Under 16s) is 39.40 seconds and was achieved by Jeremiah Fernando (Singapore) in Singapore on 8 May 2025.</p><br/><p>Jeremiah was 15 years old and 4 months when he attempted this record. He wanted to attempt this record before he turned 16 years old. </p>,"Title: Fastest time to arrange a chess set (Under 16s)
 Location: Singapore
 Text: <p>The fastest time to arrange a chess set (Under 16s) is 39.40 seconds and was achieved by Jeremiah Fernando (Singapore) in Singapore on 8 May 2025.</p><br/><p>Jeremiah was 15 years old and 4 months when he attempted this record. He wanted to attempt this record before he turned 16 years old. </p>"
15-69735,Most prolific symphonist,,"The most prolific symphonist was Johann Melchior Molter (1696-1765) of Germany with over 170.
<BR>
<BR>Franz Joseph Haydn (1732-1809) of Austria wrote 108 numbered symphonies, many of which are regularly played today.
","Title: Most prolific symphonist
 Location: 
 Text: The most prolific symphonist was Johann Melchior Molter (1696-1765) of Germany with over 170.
<BR>
<BR>Franz Joseph Haydn (1732-1809) of Austria wrote 108 numbered symphonies, many of which are regularly played today.
"
15-734975,Most chest to ground push up burpees in one minute (II),"Leamington Spa, Warwickshire, United Kingdom","<p>The most chest to ground push up burpees in one minute (II) is 16, achieved by Tom Enoch (UK) in Leamington Spa, UK, on 7 January 2023.</p><br/><p>Tom has Trisomy 21, also known as Down syndrome.</p><p>During the Covid-19 lockdowns across the UK, Tom put on remote fitness classes for other young people with Down syndrome.</p><p>He hopes to one day achieve 21 Guinness World Records titles, to celebrate and inspire those with Trisomy 21/Down syndrome, as well as to raise awareness.</p>","Title: Most chest to ground push up burpees in one minute (II)
 Location: Leamington Spa, Warwickshire, United Kingdom
 Text: <p>The most chest to ground push up burpees in one minute (II) is 16, achieved by Tom Enoch (UK) in Leamington Spa, UK, on 7 January 2023.</p><br/><p>Tom has Trisomy 21, also known as Down syndrome.</p><p>During the Covid-19 lockdowns across the UK, Tom put on remote fitness classes for other young people with Down syndrome.</p><p>He hopes to one day achieve 21 Guinness World Records titles, to celebrate and inspire those with Trisomy 21/Down syndrome, as well as to raise awareness.</p>"
15-64223,"Greatest distance flown in a hang glider, women","Zapata, United States","The FAI straight line distance record by a woman in a hang glider is 403.5 km (250.7 miles) by Kari Castle (USA) at Zapata, Texas, USA on 28 July 2001.","Title: Greatest distance flown in a hang glider, women
 Location: Zapata, United States
 Text: The FAI straight line distance record by a woman in a hang glider is 403.5 km (250.7 miles) by Kari Castle (USA) at Zapata, Texas, USA on 28 July 2001."
15-28805,Fastest horizontal speed reached in a wingsuit,"Davis, California, United States","<p>The fastest horizontal speed reached in a wingsuit is 396.88 km/h (246.6 mph) and was achieved by Fraser Corsan (UK) over Davis, California, USA on 22 May 2017.</p><br/><p>The jump took place at 35,508 ft over Davis, California by Fraser Conran who is an Aerospace Safety Engineer</p><p>Fraser attempted the record to raise awareness for SSAFA - the Armed Forces charity. He also hoped to inspire a generation of students to embrace science technology and mathematics.</p><p>The record was attempted under Guinness World Records' guidelines and is not associated with FAI rulings for their recognised wingsuit speed records. </p>","Title: Fastest horizontal speed reached in a wingsuit
 Location: Davis, California, United States
 Text: <p>The fastest horizontal speed reached in a wingsuit is 396.88 km/h (246.6 mph) and was achieved by Fraser Corsan (UK) over Davis, California, USA on 22 May 2017.</p><br/><p>The jump took place at 35,508 ft over Davis, California by Fraser Conran who is an Aerospace Safety Engineer</p><p>Fraser attempted the record to raise awareness for SSAFA - the Armed Forces charity. He also hoped to inspire a generation of students to embrace science technology and mathematics.</p><p>The record was attempted under Guinness World Records' guidelines and is not associated with FAI rulings for their recognised wingsuit speed records. </p>"
15-431922,Fastest autorickshaw / tuk-tuk (prototype),"PATHUMTHANI / NAKON NAYOK, Thailand","<p>The fastest autorickshaw/tuk-tuk (prototype) is 130.45 km/h (81.057 mph) and was achieved by Ray Macdonald and Rojjaporn Lertworawanich (both Thailand), in Bangkok, Thailand, on 13 February 2020. </p><br/><p>The record attempt took place at Sangtawan Airfield.</p>","Title: Fastest autorickshaw / tuk-tuk (prototype)
 Location: PATHUMTHANI / NAKON NAYOK, Thailand
 Text: <p>The fastest autorickshaw/tuk-tuk (prototype) is 130.45 km/h (81.057 mph) and was achieved by Ray Macdonald and Rojjaporn Lertworawanich (both Thailand), in Bangkok, Thailand, on 13 February 2020. </p><br/><p>The record attempt took place at Sangtawan Airfield.</p>"
15-506748,First car combat videogame,Not Applicable,"<p>The first videogame to introduce vehicle combat was 1976's <em>Crashing Race</em> arcade game. More than 40 years later, smashing into other players – or using special items to damage the competition – remains a mainstay of the kart-racing genre.</p>","Title: First car combat videogame
 Location: Not Applicable
 Text: <p>The first videogame to introduce vehicle combat was 1976's <em>Crashing Race</em> arcade game. More than 40 years later, smashing into other players – or using special items to damage the competition – remains a mainstay of the kart-racing genre.</p>"
15-649839,Largest tree sentence,"Sharjah, United Arab Emirates","The largest tree sentence is 2,507 and was achieved by Nissan Middle East (UAE), in Sharjah, UAE, on 18 November 2023.<p></p><br/>The attempt took place on the Green Farm. Local potted perennial trees, called Sidr (jujube),  with an elongated stem supporting branches and leaves were used.  The whole sentence measured 75.6 m by 5.4 m (248 ft by 17.7 ft).  The sentence was written in Arabic which translated to English means:  “Long live the union of our Emirates”. <p></p>","Title: Largest tree sentence
 Location: Sharjah, United Arab Emirates
 Text: The largest tree sentence is 2,507 and was achieved by Nissan Middle East (UAE), in Sharjah, UAE, on 18 November 2023.<p></p><br/>The attempt took place on the Green Farm. Local potted perennial trees, called Sidr (jujube),  with an elongated stem supporting branches and leaves were used.  The whole sentence measured 75.6 m by 5.4 m (248 ft by 17.7 ft).  The sentence was written in Arabic which translated to English means:  “Long live the union of our Emirates”. <p></p>"
15-411548,"Youngest player to reach 1,000 receptions in an NFL career",United States,"<p>At 32 years 97 days old as of 6 December 2015, Larry Fitzgerald (USA, b. 31 August 1983) of the Arizona Cardinals became the youngest player to reach 1,000 career receptions in NFL history. Fitzgerald caught his 900th pass in a 12–6 win over the St. Louis Rams on 11 December 2014 and his 1,000th pass on 6 December 2015 in St. Louis, Missouri, USA, also against the Rams. </p><br/><p>n/a</p>","Title: Youngest player to reach 1,000 receptions in an NFL career
 Location: United States
 Text: <p>At 32 years 97 days old as of 6 December 2015, Larry Fitzgerald (USA, b. 31 August 1983) of the Arizona Cardinals became the youngest player to reach 1,000 career receptions in NFL history. Fitzgerald caught his 900th pass in a 12–6 win over the St. Louis Rams on 11 December 2014 and his 1,000th pass on 6 December 2015 in St. Louis, Missouri, USA, also against the Rams. </p><br/><p>n/a</p>"
15-92287,Best-selling combat sports videogame,Not Applicable,"With more than 7.36 million copies sold across six console formats as of 12 May 2015, <i>WWE SmackDown! vs. RAW 2008</i> is the best-selling combat sports game of all time. The PlayStation 2 version (whose name is sometimes shortened to <i>WWE SvR 2008</i> or <i>SvR ’08</i>) is the top performer, shifting an impressive 2.34 million units alone.","Title: Best-selling combat sports videogame
 Location: Not Applicable
 Text: With more than 7.36 million copies sold across six console formats as of 12 May 2015, <i>WWE SmackDown! vs. RAW 2008</i> is the best-selling combat sports game of all time. The PlayStation 2 version (whose name is sometimes shortened to <i>WWE SvR 2008</i> or <i>SvR ’08</i>) is the top performer, shifting an impressive 2.34 million units alone."
15-450708,Longest national flag (official aspect ratio),Qatar,"<p>Qatar's flag is the only national flag having a width more than twice its height, based on its official height-to-width ratio of 11:28. The maroon flag with a broad white nine-pointed serrated stripe on the hoist side  was adopted on 9 July 1971, just before Qatar gained independence from Britain on 3 September 1971.</p><br/><p>The most common aspect ratios in official flags are 2:3 and 1:2.</p>","Title: Longest national flag (official aspect ratio)
 Location: Qatar
 Text: <p>Qatar's flag is the only national flag having a width more than twice its height, based on its official height-to-width ratio of 11:28. The maroon flag with a broad white nine-pointed serrated stripe on the hoist side  was adopted on 9 July 1971, just before Qatar gained independence from Britain on 3 September 1971.</p><br/><p>The most common aspect ratios in official flags are 2:3 and 1:2.</p>"
15-406698,Greatest distance travelled on a bicycle balancing a football on the head,"Dhaka , Khulna , Bangladesh","<p>The greatest distance travelled on a bicycle balancing a football on the head is 13.74 km (8.53 miles), achieved by Abdul Halim (Bangladesh) in Dhaka, Bangladesh, on 8 June 2017. </p><br/><p>Abdul completed this attempt in 1 hr 19 minutes.</p>","Title: Greatest distance travelled on a bicycle balancing a football on the head
 Location: Dhaka , Khulna , Bangladesh
 Text: <p>The greatest distance travelled on a bicycle balancing a football on the head is 13.74 km (8.53 miles), achieved by Abdul Halim (Bangladesh) in Dhaka, Bangladesh, on 8 June 2017. </p><br/><p>Abdul completed this attempt in 1 hr 19 minutes.</p>"
15-381151,Most people contributing to the same foot painting simultaneously,"Pune, Maharashtra, India","<p>The most people contributing to the same foot painting simultaneously is 329, and was achieved by Priyanka Chandwani (India) in Pune, India, on 8 March 2019.</p><br/><p>This was an initiative for International Women's Day using the UN theme of 'think equal, build smart, innovate for change' as inspiration for this creative record attempt.</p>","Title: Most people contributing to the same foot painting simultaneously
 Location: Pune, Maharashtra, India
 Text: <p>The most people contributing to the same foot painting simultaneously is 329, and was achieved by Priyanka Chandwani (India) in Pune, India, on 8 March 2019.</p><br/><p>This was an initiative for International Women's Day using the UN theme of 'think equal, build smart, innovate for change' as inspiration for this creative record attempt.</p>"
15-75287,Fencing - Most individual world titles (men),", Not Applicable","As of the end of the 2013 World Championships, two male fencers have won six individual world fencing titles. The first was Christian D'Oriola (France) who won the foil title in 1947, 1949, 1952–54 and 1956. Stanislav Pozdniakov (Russia) matched his achievement in 2007 with sabre wins in 1996–97, 2001–02 and 2006–07.<br/>Christian D'Oriola's achievement includes two Olympic gold medals, one in Helsinki, Finland, in 1952 and the other in Melbourne, Australia, in 1956. Pozdniakov won one Olympic gold in Atlanta, USA, in 1996.","Title: Fencing - Most individual world titles (men)
 Location: , Not Applicable
 Text: As of the end of the 2013 World Championships, two male fencers have won six individual world fencing titles. The first was Christian D'Oriola (France) who won the foil title in 1947, 1949, 1952–54 and 1956. Stanislav Pozdniakov (Russia) matched his achievement in 2007 with sabre wins in 1996–97, 2001–02 and 2006–07.<br/>Christian D'Oriola's achievement includes two Olympic gold medals, one in Helsinki, Finland, in 1952 and the other in Melbourne, Australia, in 1956. Pozdniakov won one Olympic gold in Atlanta, USA, in 1996."
15-24626,Most generations to celebrate a golden wedding anniversary (50th),"St.Louis City,Also Wachenheim, Pfalz, Bayern (Bavaria) for the earlier generations., United States","The record for most generations of the same family to celebrate a golden wedding anniversary (50th) is five. 

Generation #1:

Philipp Jakob Kober (b.16 June 1776) married Maria Barbara Ullrich (b. 1 February 1775) in Wachenheim, Pfalz, Bayern (Bavaria), Germany. Their marriage lasted 53 years and came to an end when Maria Barbara Kober, nee Ullrich died on 28 September 1849.

Generation #2:

Susan Kober (b. 21 August 1810), daughter of Philipp Jakob Kober and Maria Barbara Ullrich, married Johannes Machenheimer, Jr. (b. 8 September 1811) on  21 January 1836 in Wachenheim, Pfalz, Bayern (Bavaria), Germany. Their marriage lasted 62 years and came to an end when Susan Machenheimer, nee Kober died on 27 August 1898.

Generation #3:

J. Elizabeth Machenheimer (b. 9 April 1846) daughter of Johannes Machenheimer, Jr. and Susan Kober, married George Christopher Nestle (b. 25 February 1837) on 7 November 1863, St. Louis City, Missouri, USA. Their marriage lasted 54 years and came to an end when George Christopher Nestle died on 30 March 1918.

Generation #4:

Ernestine Amalia Nestle (b. 22 June 1877), daughter of George Christopher Nestle and Johanna Elizabeth Machenheimer, married James C. Curran (b. 8 September 1871) on 1 June 1898, St. Louis City, Missouri, USA. Their marriage lasted 52 years and came to an end when James C. Curran died on 19 March 1951.

Generation #5 (two couples):
a)  Elizabeth Ruth Curran (b. 18 June 1915) daughter of James C. Curran and Ernestine Amalia Nestle, married Edward Louis Heim, Sr. (b. 21 July 1914) on 1 June 1938, St. Louis City, Missouri, USA. Their marriage lasted 50 years and came to an end when Elizabeth Ruth Heim died on 13 April 1989.

b)  Doris Ann Curran (b. 8 August 1921) daughter of James C. Curran and Ernestine Amalia Nestle, married Russell Eugene Callahan (b. 27 March 1920) on 1 June 1943, St. Louis City, Missouri, USA. The couple is still married as of 02 April 2003, having been married 59 years, 10 mon","Title: Most generations to celebrate a golden wedding anniversary (50th)
 Location: St.Louis City,Also Wachenheim, Pfalz, Bayern (Bavaria) for the earlier generations., United States
 Text: The record for most generations of the same family to celebrate a golden wedding anniversary (50th) is five. 

Generation #1:

Philipp Jakob Kober (b.16 June 1776) married Maria Barbara Ullrich (b. 1 February 1775) in Wachenheim, Pfalz, Bayern (Bavaria), Germany. Their marriage lasted 53 years and came to an end when Maria Barbara Kober, nee Ullrich died on 28 September 1849.

Generation #2:

Susan Kober (b. 21 August 1810), daughter of Philipp Jakob Kober and Maria Barbara Ullrich, married Johannes Machenheimer, Jr. (b. 8 September 1811) on  21 January 1836 in Wachenheim, Pfalz, Bayern (Bavaria), Germany. Their marriage lasted 62 years and came to an end when Susan Machenheimer, nee Kober died on 27 August 1898.

Generation #3:

J. Elizabeth Machenheimer (b. 9 April 1846) daughter of Johannes Machenheimer, Jr. and Susan Kober, married George Christopher Nestle (b. 25 February 1837) on 7 November 1863, St. Louis City, Missouri, USA. Their marriage lasted 54 years and came to an end when George Christopher Nestle died on 30 March 1918.

Generation #4:

Ernestine Amalia Nestle (b. 22 June 1877), daughter of George Christopher Nestle and Johanna Elizabeth Machenheimer, married James C. Curran (b. 8 September 1871) on 1 June 1898, St. Louis City, Missouri, USA. Their marriage lasted 52 years and came to an end when James C. Curran died on 19 March 1951.

Generation #5 (two couples):
a)  Elizabeth Ruth Curran (b. 18 June 1915) daughter of James C. Curran and Ernestine Amalia Nestle, married Edward Louis Heim, Sr. (b. 21 July 1914) on 1 June 1938, St. Louis City, Missouri, USA. Their marriage lasted 50 years and came to an end when Elizabeth Ruth Heim died on 13 April 1989.

b)  Doris Ann Curran (b. 8 August 1921) daughter of James C. Curran and Ernestine Amalia Nestle, married Russell Eugene Callahan (b. 27 March 1920) on 1 June 1943, St. Louis City, Missouri, USA. The couple is still married as of 02 April 2003, having been married 59 years, 10 mon"
15-25170,Largest collection of toothpaste tubes,"Atlanta, Georgia,The collection is partly displayed in his dental practice.,, United States","<p>The largest collection of toothpaste tubes is 2,037 and belongs to Val Kolpakov (USA), in Alpharetta, Georgia, USA, on 15 June 2012.</p><br/><p>
	The collection consists of 2,037 different tubes of toothpaste from all over the world, including items from Japan, Korea, China, India and Russia.</p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/84o6TgM-UiY?si=5gMLJUxZR6nq3CC_"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>","Title: Largest collection of toothpaste tubes
 Location: Atlanta, Georgia,The collection is partly displayed in his dental practice.,, United States
 Text: <p>The largest collection of toothpaste tubes is 2,037 and belongs to Val Kolpakov (USA), in Alpharetta, Georgia, USA, on 15 June 2012.</p><br/><p>
	The collection consists of 2,037 different tubes of toothpaste from all over the world, including items from Japan, Korea, China, India and Russia.</p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/84o6TgM-UiY?si=5gMLJUxZR6nq3CC_"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen=""""></iframe>"
15-78577,Fastest 40 m walk on water,"Edinburgh,at the Royal Commonwealth Pool, United Kingdom","The fastest time to walk 40m on water using self-propelled bouyancy shoes was 1 minute 10.8 seconds. It was achieved by the team 'Gemini Dawn'&#160;on 11 April 2003 at the Royal Commonwealth Pool, Edinburgh, UK. The event was part of the 2003 Edinburgh Science Festival.
<br/>The team consisted of Mark O'Hara, Alister Grant, Ross Bremner, Haley Mardon and Natsuko Ichikawa.","Title: Fastest 40 m walk on water
 Location: Edinburgh,at the Royal Commonwealth Pool, United Kingdom
 Text: The fastest time to walk 40m on water using self-propelled bouyancy shoes was 1 minute 10.8 seconds. It was achieved by the team 'Gemini Dawn'&#160;on 11 April 2003 at the Royal Commonwealth Pool, Edinburgh, UK. The event was part of the 2003 Edinburgh Science Festival.
<br/>The team consisted of Mark O'Hara, Alister Grant, Ross Bremner, Haley Mardon and Natsuko Ichikawa."
15-30895,Longest single hole completed in 12 hours,"Pretoria, South Africa","The longest 'hole' completed in under 12 hours measured 76.2 km (47.34 miles) long between 3rd tee at Bronkhorstspruit GC, Gauteng, South Africa and the 18th hole at Witbank GC, Mpumalanga, South Africa and was played in 785 shots (losing 28 balls in the process) by Heinrich du Preez, Rikus Brits, Johannes du Plessis and Kenny West (all South Africa), on 12 December 2006.","Title: Longest single hole completed in 12 hours
 Location: Pretoria, South Africa
 Text: The longest 'hole' completed in under 12 hours measured 76.2 km (47.34 miles) long between 3rd tee at Bronkhorstspruit GC, Gauteng, South Africa and the 18th hole at Witbank GC, Mpumalanga, South Africa and was played in 785 shots (losing 28 balls in the process) by Heinrich du Preez, Rikus Brits, Johannes du Plessis and Kenny West (all South Africa), on 12 December 2006."
15-506859,Most grapes sliced on a balance board in one minute,"Boise, Idaho, United States","<p>The most grapes sliced on a balance board in one minute is 68 and was achieved by David Rush (USA), in Boise, Idaho, USA, on 17 November 2020.</p><br/><p>This record was achieved as part of Guinness World Records Day 2020. The annual day of celebration sees people around the world pushing their skills to the limit in order to become part of a global family of record-breakers.</p>","Title: Most grapes sliced on a balance board in one minute
 Location: Boise, Idaho, United States
 Text: <p>The most grapes sliced on a balance board in one minute is 68 and was achieved by David Rush (USA), in Boise, Idaho, USA, on 17 November 2020.</p><br/><p>This record was achieved as part of Guinness World Records Day 2020. The annual day of celebration sees people around the world pushing their skills to the limit in order to become part of a global family of record-breakers.</p>"
15-77371,Most trees planted by an individual in 24 hours,"La Crete, Alberta, Canada","<p>The most trees planted by an individual in 24 hours is 23,060, and was achieved by Antoine Moses (Canada) in La Crete, Alberta, Canada, on 17 July 2021. </p><br/><p>Antoine has been planting trees for 6 years. </p>","Title: Most trees planted by an individual in 24 hours
 Location: La Crete, Alberta, Canada
 Text: <p>The most trees planted by an individual in 24 hours is 23,060, and was achieved by Antoine Moses (Canada) in La Crete, Alberta, Canada, on 17 July 2021. </p><br/><p>Antoine has been planting trees for 6 years. </p>"
15-449136,Largest flaming image using outdoor fire burners,"Nayoro, HOKKAIDO, Japan","<p>The largest flaming image using outdoor fire burners consists of 270 burners, achieved by ""Kitano Tenmonji-yaki"" Executive Committee (Japan) in Nayoro, Hokkaido, Japan, on 18 February 2017.</p><br/><p>The image created was a <em>kanji</em> letter ""ten,"" which means sky/heaven/god(s). </p>","Title: Largest flaming image using outdoor fire burners
 Location: Nayoro, HOKKAIDO, Japan
 Text: <p>The largest flaming image using outdoor fire burners consists of 270 burners, achieved by ""Kitano Tenmonji-yaki"" Executive Committee (Japan) in Nayoro, Hokkaido, Japan, on 18 February 2017.</p><br/><p>The image created was a <em>kanji</em> letter ""ten,"" which means sky/heaven/god(s). </p>"
