recipient
ADRC MEMBER COUNTRIES
AFGHANISTAN
AFRICA
AFRICA REGIONAL
AFRICA REGIONAL/MULTICOUNTRY
"AFRICA, -LATIN AMERICA AND THE CARIBBEAN"
"AFRICA, -LATIN AMERICA AND THE CARIBBEAN, ASIA"
"AFRICA, -LATIN AMERICA AND THE CARIBBEAN, ASIA, EUROPE, OCEANIA"
"AFRICA, ASIA"
"AFRICA, ASIA, OCEANIA"
"AFRICA, OCEANIA"
"AFRICA, REGIONAL"
"AFRICA,–LATIN AMERICA AND THE CARIBBEAN,ASIA"
ALBANIA
ALGERIA
AMERICA CENTRAL REGIONAL/ MULTICOUNTRY
AMERICA CENTRAL REGIONAL/MULTICOUNTRY
"AMERICA, REGIONAL"
AMERICAN CENTRAL REGIONAL/MULTICOUNTRY
AMERICAS
ANDEAN REGION
ANGOLA
ANTIGUA AND BARBUDA
"ANTIGUA AND BARBUDA, ARGENTINA, ARUBA, THE BAHAMAS, BARBADOS, BELIZE, BOLIVIA, BRAZIL, CANADA, CHILE, COLOMBIA, COSTA RICA, DOMINICA, DOMINICAN REPUBLIC, ECUADOR, EL SALVADOR, GUATEMALA, GUYANA, HAITI, HONDURAS, JAMAICA, MEXICO, PANAMA, PARAGUAY, PERU, ST. KITTS AND NEVIS, ST. MARTIN, ST. VINCENT AND GRENADINES, SURINAME, TRINIDAD AND TOBAGO, URUGUAY, AND VENEZUELA"
"ANTIGUA AND BARBUDA, BARBADOS, DOMINICA, DOMINICAN REPUBLIC, GRENADA, GUYANA, JAMAICA, ST. KITTS AND NEVIS, ST. LUCIA, ST. VINCENT AND THE GRENADINES, SURINAME, THE BAHAMAS, AND TRINIDAD AND TOBAGO"
"ANTIGUA AND BARBUDA, BARBADOS, THE BAHAMAS, DOMINICA, GRENADA, GUYANA, SAINT LUCIA, ST. KITTS AND NEVIS, ST. VINCENT AND THE GRENADINES, SURINAME AND TRINIDAD AND TOBAGO"
ARGENTINA
"ARGENTINA, ARUBA, BAHAMAS, BELIZE, BONAIRE, CANADA, CHILE, COLUMBIA, CURACAO, DOMINICAN REPUBLIC, ECUADOR, GUATEMALA, HONDURAS, JAMAICA, MEXICO, NICARAGUA, PARAGUAY, PERU, ST. EUSTATIUS, ST. MAARTEN, SABA, SURINAME, UNITED STATES, VENEZUELA"
"ARGENTINA, BELIZE, CHILE, COLOMBIA, COSTA RICA, GUATEMALA, HONDURAS, MEXICO, PANAMA, PERU AND PARAGUAY"
ARMENIA
ASEAN COUNTRIES
ASIA
"ASIA / VIETNAM, CAMBODJA, LAOS, THAILAND"
ASIA REGIONAL
ASIA REGIONAL/ MULTICOUNTRY
ASIA REGIONAL/MULTI-SECTOR
ASIA REGIONAL/MULTICOUNTRY
"ASIA, REGIONAL"
AZERBAIJAN
BAHAMAS
BANGLADESH
"BANGLADESH, BHUTAN, NEPAL, PAKISTAN"
"BANGLADESH, BURMA, CAMBODIA, INDIA, INDONESIA, LAOS, NEPAL, PHILIPPINES, THAILAND, AND VIETNAM"
"BANGLADESH, CONGO DR, MALAWI, PAKISTAN, ZAMBIA, ZIMBABWE"
"BANGLADESH, MALDIVES, NEPAL"
"BANGLADESH, PHILIPPINES, VIETNAM"
BARBADOS
BARBADOS AND EASTERN CARIBBEAN
"BARBADOS AND EASTERN CARIBBEAN, BRAZIL, COLOMBIA, DOMINICAN REPUBLIC, ECUADOR, EL SALVADOR, GUATEMALA, HAITI, HONDURAS, JAMAICA, MEXICO, PARAGUAY, PERU"
"BARBADOS, BRAZIL, COLOMBIA, DOMINICAN REPUBLIC, ECUADOR, EL SALVADOR, GUATEMALA, HAITI, HONDURAS, JAMAICA, MEXICO, PARAGUAY, PERU"
"BARBADOS, DOMINICAN REPUBLIC, HAITI, JAMAICA, GUYANA"
BELARUS
BELIZE
"BELIZE, COSTA RICA, EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, PANAMA"
"BELIZE, DOMINICA, GRENADA, GUYANA, JAMAICA, SAINT LUCIA"
"BELIZE, SAINT VINCENT AND THE GRENADINES, SURINAME"
BENIN
"BENIN, BOLIVIA, BURKINA FASO, CAMEROON, CONGO DR, ECUADOR, GUINEA, HAITI, PERU, SENEGAL, TUNISIA"
"BENIN, BOTSWANA, BURKINA FASO, BURUNDI, CABO VERDE, CHAD, CÔTE D’IVOIRE, DJIBOUTI, ETHIOPIA, GAMBIA, GHANA, GUINEA, GUINEA-BISSAU, KENYA, LIBERIA, MALAWI, MALI, MAURITANIA, NIGER, NIGERIA, RWANDA, SENEGAL, SIERRA LEONE, SOUTH SUDAN, TOGO, TANZANIA, UGANDA, ZAMBIA"
"BENIN, BURKINA FASO, CAMEROON, IVORY COAST, CONGO DR, DJIBOUTI, GABON, GUINEA, MALI, MAURITIUS, SENEGAL, TOGO"
"BENIN, BURKINA FASO, IVORY COAST, ETHIOPIA, GHANA, KENYA, SENEGAL, TOGO, TANZANIA"
"BENIN, BURKINA FASO, IVORY COAST, GUATEMALA, HAITI, HONDURAS, SENEGAL, TOGO"
"BENIN, BURKINA FASO, IVORY COAST, GUINEA, MALI, NIGER, SENEGAL, TOGO"
"BENIN, BURKINA FASO, MALI"
"BENIN, BURKINA FASO, TOGO"
"BENIN, CAMEROON, CONGO DR, ETHIOPIA, NIGERIA, TANZANIA"
BHUTAN
BOLIVIA
"BOLIVIA, COLOMBIA, CUBA, DOMINICAN REPUBLIC, ECUADOR, GUATEMALA, HAITI, MEXICO, NICARAGUA, PERU"
"BOLIVIA, PERU"
BOSNIA AND HERZEGOVINA
BOTSWANA
BRAZIL
"BRAZIL, COLOMBIA, ECUADOR, PERU"
"BRAZIL, COLOMBIA, PERU"
"BRAZIL, PERU, COLOMBIA, ECUADOR"
"BRUNEI, CAMBODIA, INDONESIA, LAOS, MALAYSIA, BURMA, PHILIPPINES, THAILAND, SINGAPORE, VIETNAM"
BURKINA FASO
"BURKINA FASO, ETHIOPIA, GHANA, KENYA, MALAWI, MALI, NIGERIA, SENEGAL, UGANDA, TANZANIA"
"BURKINA FASO, GHANA, MALAWI, UGANDA, ZAMBIA"
"BURKINA FASO, GHANA, MALI, SENEGAL"
"BURKINA FASO, IVORY COAST, ESWATINI, ETHIOPIA, GHANA, GUINEA, SENEGAL, TOGO, UGANDA, TANZANIA, ZAMBIA"
"BURKINA FASO, MALI, NIGER"
BURMA
BURUNDI
CABO VERDE
CAMBODIA
"CAMBODIA, CHINA, INDONESIA, LAOS, MALAYSIA, MYANMAR, NEPAL, PHILIPPINES, KOREA, SRI LANKA, THAILAND, VIETNAM"
"CAMBODIA, INDONESIA, LAOS, BURMA, PHILIPPINES, THAILAND, VIETNAM"
"CAMBODIA, INDONESIA, LAOS, MALAYSIA, BURMA, PHILIPPINES, THAILAND, VIETNAM"
"CAMBODIA, INDONESIA, LAOS, MALAYSIA, PHILIPPINES, THAILAND, AND VIETNAM"
"CAMBODIA, INDONESIA, LAOS, MYANMAR, SINGAPORE, PHILIPPINES, VIETNAM"
"CAMBODIA, INDONESIA, LAOS, PHILIPPINES, THAILAND, VIETNAM"
"CAMBODIA, INDONESIA, LAOS, PHILIPPINES, VIETNAM, THAILAND"
"CAMBODIA, INDONESIA, PHILIPPINES, THAILAND, VIETNAM"
"CAMBODIA, LAOS, THAILAND, VIETNAM"
"CAMBODIA, MALAYSIA"
"CAMBODIA, PHILIPPINES, VIETNAM"
CAMEROON
"CAMEROON, GHANA, BURKINA FASO"
CARIBBEAN
CARIBBEAN & -LATIN AMERICA AND THE CARIBBEAN
"CARIBBEAN & CENTRAL AMERICA, REGIONAL"
"CARIBBEAN, REGIONAL"
CENTRAL AFRICA
CENTRAL AFRICAN REPUBLIC
CENTRAL AMERICA
"CENTRAL AMERICA, GUATEMALA, COSTA RICA, NICARAGUA, MEXICO"
"CENTRAL AMERICA, REGIONAL"
CENTRAL ASIA
CHAD
CHILE
CHINA
COLOMBIA
"COLOMBIA, GUATEMALA"
"COLOMBIA, GUATEMALA, PERU"
"COLOMBIA, TRINIDAD AND TOBAGO, EL SALVADOR"
COMOROS
"COMOROS, KENYA, MADAGASCAR, MOZAMBIQUE, TANZANIA"
CONGO
CONGO DR
"CONGO DR, ETHIOPIA, KENYA, LIBERIA, MALAWI, MOZAMBIQUE, NIGERIA, RWANDA, SENEGAL, SIERRA LEONE, UGANDA, TANZANIA, ZAMBIA, ZIMBABWE"
"CONGO DR, HAITI, SENEGAL"
"CONGO DR, UGANDA, ZIMBABWE"
"CONGO DR, ZIMBABWE, UGANDA"
COOK ISLANDS
COSTA RICA
"COSTA RICA, CHILE, MEXICO"
CUBA
"CUBA, COLOMBIA"
DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA
DEVELOPING COUNTRIES
"DEVELOPING COUNTRIES, UNSPECIFIED"
"DEVELOPING COUNTRIES, UNSPECIFIED. BILATERAL, UNALLOCATED"
DJIBOUTI
DOMINICA
"DOMINICA, GUYANA, JAMAICA, SAINT LUCIA, SURINAME"
DOMINICAN REPUBLIC
EAST AFRICA
EASTERN AFRICA
"EASTERN AFRICA, REGIONAL"
EASTERN ASIA
EASTERN CARIBBEAN
EASTERN EUROPE
ECUADOR
"ECUADOR, PERU"
EGYPT
EL SALVADOR
"EL SALVADOR, GUATEMALA, HONDURAS"
"EL SALVADOR, GUATEMALA, HONDURAS, BELIZE, COSTA RICA, PANAMA"
"EL SALVADOR, GUATEMALA, NICARAGUA"
EQUATORIAL GUINEA
ERITREA
"ERITREA, ETHIOPIA, KENYA, SOMALIA, SOUTH SUDAN, SUDAN, UGANDA, TANZANIA"
ESWATINI
ETHIOPIA
"ETHIOPIA, GHANA"
"ETHIOPIA, GHANA, IVORY COAST, UGANDA, BURKINA FASO, ZAMBIA"
"ETHIOPIA, GHANA, SENEGAL"
"ETHIOPIA, GHANA, ZAMBIA"
"ETHIOPIA, KENYA, TANZANIA"
"ETHIOPIA, NIGER, SUDAN"
EUROPE
EUROPE & EURASIA REGIONAL
"EUROPE, REGIONAL"
"FAR EAST ASIA, REGIONAL"
FIJI
"FIJI, SAMOA, TONGA, AND VANUATU"
"FIJI, SAMOA, TONGA, VANUATU"
FRANCE
FRANCOPHONE AFRICA
GABON
GAMBIA
"GAMBIA, GHANA, LIBERIA, TOGO"
"GAMBIA, GUINEA, GUINEA-BISSAU, SENEGAL"
GEORGIA
GHANA
"GHANA, IVORY COAST, SENEGAL"
"GHANA, KENYA, MADAGASCAR, MALI, MOZAMBIQUE, ZIMBABWE, SENEGAL, NAMIBIA, INDIA, BANGLADESH"
"GHANA, KENYA, SENEGAL"
"GHANA, MADAGASCAR, MOZAMBIQUE"
"GHANA, MALAWI, RWANDA"
"GHANA, NIGERIA, COLOMBIA, PERU"
"GHANA, SIERRA LEONE"
"GHANA, UGANDA, TANZANIA"
"GHANA, ZIMBABWE, SENEGAL"
GLOBAL
GLOBAL SOUTH
GREAT LAKES REGION
GUATEMALA
GUATEMALA COSTA RICA NICARAGUA
"GUATEMALA, HONDURAS, NICARAGUA"
GUINEA
GUINEA REPUBLIC
GUINEA-BISSAU
"GUINEA-BISSAU, SENEGAL, TOGO, BURKINA FASO"
GUYANA
HAITI
HONDURAS
HORN OF AFRICA
INDIA
"INDIA, PAKISTAN, BANGLADESH"
INDONESIA
"INDONESIA, THAILAND, PHILIPPINES, VIETNAM, MALAYSIA, CAMBODIA, SRI LANKA"
"INDONESIA, VIETNAM, THAILAND, PHILIPPINES, LAOS, BURMA, BANGLADESH"
IRAN
IRAQ
ISRAEL
IVORY COAST
"IVORY COAST, GHANA, SENEGAL"
JAMAICA
"JAMAICA, DOMINICA, SAINT LUCIA, GUYANA, SURINAME"
JORDAN
"JORDAN, MOROCCO"
KAZAKHSTAN
"KAZAKHSTAN, TURKMENISTAN, TAJIKISTAN, KYRGYZSTAN, UZBEKISTAN"
KENYA
"KENYA, ETHIOPIA, PALAU, MALDIVES, SAUDI ARABIA"
"KENYA, INDIA, INDONESIA"
"KENYA, JAMAICA, COLOMBIA, SRI LANKA"
"KENYA, RWANDA, UGANDA, TANZANIA"
"KENYA, SENEGAL, NAMIBIA, INDIA"
"KENYA, UGANDA"
KIRIBATI
KOSOVO
KYRGYZSTAN
"KYRGYZSTAN, TAJIKISTAN, PAKISTAN"
LAOS
"LAOS, THAILAND"
"LAOS, VIETNAM"
LATIN AMERICA
LATIN AMERICA & CARIBBEAN REGIONAL
LATIN AMERICA AND THE CARIBBEAN
"LATIN AMERICA AND THE CARIBBEAN, ASIA"
LEBANON
LESOTHO
LESS DEVELOPING COUNTRIES (LDCS)
LIBERIA
LIBYA
MADAGASCAR
"MADAGASCAR, TOGO"
MALAWI
"MALAWI, MOZAMBIQUE"
"MALAWI, ZAMBIA, ZIMBABWE"
MALAYSIA
MALDIVES
MALI
"MALI, NIGER, BURKINA FASO"
"MALI, SUDAN, UGANDA"
MARSHALL ISLANDS
MAURITANIA
MAURITIUS
MEXICO
"MEXICO, CHILE, COSTA RICA"
"MEXICO, COLOMBIA, ECUADOR, PERU"
MICRONESIA
"MICRONESIA, REGIONAL"
MIDDLE AFRICA
MIDDLE EAST
MIDDLE EAST REGIONAL
MLTIPLE COUNTRIES IN ASIA
MOLDOVA
MONGOLIA
"MONGOLIA, BANGLADESH, VIETNAM, LAOS, INDONESIA, CAMBODIA, MYANMAR, THAILAND, PHILIPPINES"
MONTENEGRO
MOROCCO
MOZAMBIQUE
"MOZAMBIQUE, ZIMBABWE"
MULTI-REGIONAL ASSISTANCE
MULTICOUNTRY
"MULTICOUNTRY (SOUTH AMERICA, REG./MULTICOUNTRY; N.&C. AMERICA, REG./MULTICOUNTRY; AFRICA, REGIONAL/MULTICOUNTRY; ASIA, REGIONAL/MULTICOUNTRY; OCEANIA, REGIONAL/MULTICOUNTRY; EUROPE, REGIONAL/MULTICOUNTRY)"
MULTICOUNTRY AFS
"MULTICOUNTRY, SOUTH OF SAHARA (KENYA; SOUTH SUDAN;UGANDA)"
MULTIPLE COUNTRIES IN AFRICA
MULTIPLE COUNTRIES IN AMERICAS
MULTIPLE COUNTRIES IN ASIA
MULTIPLE COUNTRIES IN CENTRAL AMERICA
MULTIPLE COUNTRIES IN CENTRAL AND SOUTHERN ASIA
MULTIPLE COUNTRIES IN CENTRAL ASIAN AND CAUCASUS
MULTIPLE COUNTRIES IN EAST ASIA
MULTIPLE COUNTRIES IN EASTERN SUBSAHARA
MULTIPLE COUNTRIES IN EUROPE
MULTIPLE COUNTRIES IN MIDDLE EAST
MULTIPLE COUNTRIES IN OCEANIA
MULTIPLE COUNTRIES IN OCEANIA AND MICRONESIA
MULTIPLE COUNTRIES IN SOUTH WEST ASIA
MULTIPLE COUNTRIES IN SUBSAHARA
MULTIPLE COUNTRIES IN THE CARIBBEAN AND CENTRAL AMERICA
MULTIPLE COUNTRIES IN THE CARIBBEAN REGION
MULTIPLE COUNTRIES IN WESTERN SUBSAHARA
MYANMAR
"MYANMAR, BANGLADESH, CAMBODIA, CHINA, LAOS, THAILAND, VIETNAM"
"MYANMAR, CAMBODIA, PHILIPPINES"
"MYANMAR, NIGER, SUDAN"
N/A
NAMIBIA
NAURU
NEPAL
NICARAGUA
NIGER
"NIGER, SUDAN, MYANMAR"
NIGERIA
"NIGERIA, SOUTH SUDAN"
NIUE
NORTH MACEDONIA
"NORTH OF SAHARA, REGIONAL"
NORTHERN AFRICA
OCEANIA
"OCEANIA, REGIONAL"
OTHER REGIONAL
PACIFIC REGIONAL / MULTICOUNTRY
PACIFIC REGIONAL/ MULTICOUNTRY
PACIFIC REGIONAL/MULTI-REGIONAL
PACIFIC REGIONAL/MULTICOUNTRY
PAKISTAN
PALAU
PALESTINE
PANAMA
PAPUA NEW GUINEA
PARAGUAY
PERU
"PERU, COLOMBIA & BRAZIL"
"PERU, COLOMBIA, BRAZIL"
"PERU, COLOMBIA, ECUADOR, BRAZIL, GUYANA, SURINAME"
"PERU, VENEZUELA"
PHILIPPINES
REPUBLIC OF KOREA
REPUBLIC OF MARSHALL ISLANDS
"REPUBLIC OF PALAU, FEDERATED STATES OF MICRONESIA, REPUBLIC OF THE MARSHALL ISLANDS"
REPUBLIC OF THE CONGO
ROMANIA
RWANDA
"RWANDA, KYRGYZSTAN"
"RWANDA, NEPAL, BANGLADESH, VANUATU"
SAHARAN AND SAHEL REGIONS
SAHEL
SAINT CHRISTOPHER AND NEVIS
SAINT LUCIA
SAINT VINCENT AND THE GRENADINES
SAMOA
SAO TOME AND PRINCIPE
SAUDI ARABIA
SENEGAL
"SENEGAL, HAITI, MEXICO, COLOMBIA, PERU"
SERBIA
SEYCHELLES
SIERRA LEONE
SINGAPORE
SOLOMON ISLANDS
SOMALIA
SOUDAN
SOUTH AFRICA
"SOUTH AFRICA, CAMEROON, GHANA, KENYA, RWANDA, SENEGAL"
"SOUTH AFRICA, GHANA, KENYA"
"SOUTH AFRICA, UGANDA"
SOUTH AMERICA
"SOUTH AMERICA, REGIONAL"
SOUTH ASIA
SOUTH EAST ASIA
"SOUTH OF SAHARA, REGIONAL"
SOUTH SUDAN
SOUTH-EASTERN ASIA
SOUTHERN AFRICA
SOUTHERN ASIA
SOUTHERN EUROPE
SRI LANKA
"SRI LANKA, INDIA, NEPAL, BANGLADESH"
"SRI LANKA, NEPAL, BANGLADESH"
ST. LUCIA
SUB-SAHARAN AFRICA
SUDAN
SURINAME
"SURINAME, GUYANA, GRENADA, ST. LUCIA"
SYRIA
TAJIKISTAN
TANZANIA
THAILAND
"THAILAND, KENYA"
"THAILAND, VIETNAM, MYANMAR"
TIMOR-LESTE
TOGO
TOKELAU
TONGA
TRINIDAD AND TOBAGO
"TRINIDAD AND TOBAGO, COLOMBIA, EL SALVADOR, PERU"
TUNISIA
TURKEY
TURKMENISTAN
TUVALU
UAE
UGANDA
UKRAINE
UNALLOCATED / IRELAND
URUGUAY
UZBEKISTAN
VANUATU
VENEZUELA
VIETNAM
"VIETNAM, ETHIOPIA, ECUADOR"
"VIETNAM, PHILIPPINES, THAILAND, MALAYSIA, INDONESIA"
"VIETNAM, SRI LANKA, ETC."
"VIETNAM, THAILAND, INDONESIA, ETC."
WEST AFRICA
WESTERN AFRICA
"WESTERN AFRICA, GUINEA, SENEGAL"
"WESTERN AFRICA, REGIONAL"
WESTERN ASIA
WORLDWIDE MULTI-REGIONAL
WORLDWIDE/ MULTI-REGIONAL
WORLDWIDE/MULTI-REGION
WORLDWIDE/MULTI-REGIONAL
YEMEN
ZAMBIA
ZIMBABWE
